OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ,TSPOP10_CY,TSPOP11_CY,TSPOP12_CY,TSPOP13_CY,TSPOP14_CY,TSPOP15_CY,TSPOP16_CY,TSPOP17_CY,TSPOP18_CY
137,Feldman`s,3,NEIGHBORHOODS,16,US,137,BlockApportionment:US.BlockGroups,2.191,2.576,1,2524,2279,605,7375.8,0.57,2524,1203,1.89,2415,2456,2483,2504,2503,2518,2517,2508,2509
138,Sugar Hill,3,NEIGHBORHOODS,17,US,138,BlockApportionment:US.BlockGroups,2.191,2.576,1,1642,1611,802,5206.1,0.97,1642,610,2.64,1510,1538,1565,1584,1590,1582,1587,1587,1610
139,Toumey Park,6,NEIGHBORHOODS,18,US,139,BlockApportionment:US.BlockGroups,2.191,2.576,1,2374,2276,1723,8676.9,0.71,2374,841,2.71,2244,2315,2347,2346,2336,2347,2353,2359,2362
140,El Encanto Estates,6,NEIGHBORHOODS,19,US,140,BlockApportionment:US.BlockGroups,2.191,2.576,1,333,332,180,1750.8,0.2,333,147,2.26,328,328,326,324,322,321,322,324,328
141,Colonia Solana,6,NEIGHBORHOODS,20,US,141,BlockApportionment:US.BlockGroups,2.191,2.576,1,284,284,203,1126.5,0.43,284,129,2.2,273,274,276,277,278,277,276,276,278
142,Winterhaven,3,NEIGHBORHOODS,21,US,142,BlockApportionment:US.BlockGroups,2.191,2.576,1,596,594,377,4613,0.64,596,283,2.1,564,571,579,583,593,595,596,592,592
143,Barrio Kroeger Lane,1,NEIGHBORHOODS,22,US,143,BlockApportionment:US.BlockGroups,2.191,2.576,1,268,80,61,3138.2,0.37,268,102,1,256,256,265,268,267,268,268,268,267
144,Palo Verde Park,2,NEIGHBORHOODS,23,US,144,BlockApportionment:US.BlockGroups,2.191,2.576,1,4164,4152,3258,4168.2,0.08,4164,1624,2.56,4142,4154,4149,4124,4109,4073,4029,4041,4091
145,Aldea Linda,6,NEIGHBORHOODS,24,US,145,BlockApportionment:US.BlockGroups,2.191,2.576,1,222,210,159,2799.5,0.05,222,88,2.39,224,234,238,236,226,219,216,220,223
146,St. Cyrils,6,NEIGHBORHOODS,25,US,146,BlockApportionment:US.BlockGroups,2.191,2.576,1,2345,2137,1357,5374.7,0.74,2345,1039,2.06,2208,2278,2315,2289,2253,2251,2272,2303,2319
